name,description,lat,lng
HUNTER'S HILL,description: <br>PROP_TYPE: <br>IMAGE_URL: <br>NUM_GDOOR: <br>LOT_GDOOR: <br>WIDTH_GDOOR: <br>HEIGHT_GDOOR: <br>COND_GDOOR: <br>HUMAN: ,39.5915072,-104.904029
WALNUT HILLS,description: <br>PROP_TYPE: <br>IMAGE_URL: <br>NUM_GDOOR: <br>LOT_GDOOR: <br>WIDTH_GDOOR: <br>HEIGHT_GDOOR: <br>COND_GDOOR: <br>HUMAN: ,39.5894141,-104.8854525
8342 E Briarwood Blvd,description: 7X8; 16X8<br>PROP_TYPE: <br>IMAGE_URL: <br>NUM_GDOOR: <br>LOT_GDOOR: <br>WIDTH_GDOOR: <br>HEIGHT_GDOOR: <br>COND_GDOOR: <br>HUMAN: ,39.5897062,-104.8920527
8333 E Davies Ave,description: <br>PROP_TYPE: <br>IMAGE_URL: <br>NUM_GDOOR: <br>LOT_GDOOR: <br>WIDTH_GDOOR: <br>HEIGHT_GDOOR: <br>COND_GDOOR: <br>HUMAN: ,39.5888591,-104.8921896
6701 S Willow St,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3ADbDBKtMQm2gjzwimUqAXB7DKuPAifsU8hoBtPPio-AeBywUVde9TRGpdcmO0oLDywfNNrBPUuIMPrquuXOLz2n4EP8GPSJhIo1VuEzuy5O8OtqCM7Q7kLjm_irz2e96kWjxAd6Zgo74nADRpzsBuzW-U3uDjniJk0PH-Zyy8sOCcWRXoM-t1VlimB2uNRdqp87svnri2DSM30yq3M_8y85YowQwgPL22DRlKxEqJekRrEPiF_4tpHoFlF1pFvs?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>description: <br>PROP_TYPE: <br>IMAGE_URL: <br>NUM_GDOOR: <br>LOT_GDOOR: <br>WIDTH_GDOOR: <br>HEIGHT_GDOOR: <br>COND_GDOOR: <br>HUMAN: ",39.5944359,-104.8897225
6754 S Willow St,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3ADbDBKtS2iQd1-xLgWBnD7VA8lRm8hvk7gazN67EG41Ig20erQ0VCNEgJ9BWNSQ10ggfKrrJAwE9C3tRg9mvwxjL6oX13ksGn-V4_Cskr_YllGK6ff3LtOkB3jrc4-Jv6Sc24zZhCaTvkgf4B4VWR3OAUMKoPqEXsWHiR2NfNExPd-mXo2BlTAqv6RI6pTCTq5MMVqL0zNue4yu-Qx0ExEQnYZxMgWPDf4Lbi7dp1Bs7H_VM966CvPv-abckBuY?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>description: <br>PROP_TYPE: SFH<br>IMAGE_URL: https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2RIPymkY81TZmOGuExiglw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=69.044876&pitch=0&thumbfov=100<br>NUM_GDOOR: 1<br>LOT_GDOOR: 10.617<br>WIDTH_GDOOR: 16<br>HEIGHT_GDOOR: 7<br>COND_GDOOR: 4<br>HUMAN: Y",39.5935167,-104.8891789
8016 E Fremont Ave,description: 8X8; 16X8<br>PROP_TYPE: <br>IMAGE_URL: <br>NUM_GDOOR: <br>LOT_GDOOR: <br>WIDTH_GDOOR: <br>HEIGHT_GDOOR: <br>COND_GDOOR: <br>HUMAN: ,39.5852078,-104.8956565
image___0001.jpg,description: <br>ADDRESS: 8898 E Easter Ave<br>IMAGE_NAME:  Centennial<br>INDEX: 1<br>IMAGE_LATITUDE: 39.589<br>IMAGE_LONGITUDE: -104.886<br>STATE:  Colorado<br>unnamed (1): image___0001.jpg<br>unnamed (2): 1D2C<br>NUM_GDOOR: <br>GDOOR_THROW: <br>GDOOR_WIDTH: <br>GDOOR-HEIGHT: <br>GDOOR_COND: ,39.589141,-104.885854
image___0002.jpg,description: <br>ADDRESS: 8799 E Easter Pl<br>IMAGE_NAME:  Centennial<br>INDEX: 2<br>IMAGE_LATITUDE: 39.587<br>IMAGE_LONGITUDE: -104.887<br>STATE:  Colorado<br>unnamed (1): image___0002.jpg<br>unnamed (2): 2D1C<br>NUM_GDOOR: <br>GDOOR_THROW: <br>GDOOR_WIDTH: <br>GDOOR-HEIGHT: <br>GDOOR_COND: ,39.587488,-104.886837
image___0003.jpg,description: <br>ADDRESS: 8710 E Easter Pl<br>IMAGE_NAME:  Centennial<br>INDEX: 3<br>IMAGE_LATITUDE: 39.587<br>IMAGE_LONGITUDE: -104.888<br>STATE:  Colorado<br>unnamed (1): image___0003.jpg<br>unnamed (2): 2D1C<br>NUM_GDOOR: <br>GDOOR_THROW: <br>GDOOR_WIDTH: <br>GDOOR-HEIGHT: <br>GDOOR_COND: ,39.587213,-104.887626
